rank,date,year,month,phase,phase_description,day_of_year,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,std_precip,mean_anomaly,max_anomaly,std_anomaly,centroid_lat,centroid_lon,centroid_region,centroid_department,centroid_climate_zone,max_intensity_lat,max_intensity_lon,max_intensity_region,max_intensity_department,lat_extent_deg,lon_extent_deg,lat_extent_km,lon_extent_km,regions_affected,departments_affected,climate_zones_affected,intensity_concentration,spatial_dispersion,anomaly_severity,geographic_validation
483,2017-07-21,2017,7,Phase_2_pleine,Pleine saison,202,104,23.111,29.829631163523747,44.174,17.4643497467041,7.274266298661423,2.649619280167099,3.555,0.4029691250218579,12.929,-13.775,Tambacounda,Tambacounda,Zone soudanienne,13.125,-15.125,Kolda,Kolda,1.5,4.75,166.98,515.3647961427358,6,14,2,0.0101871913754573,541.7408895981719,1.7776530613791892,PASSED
486,2012-07-21,2012,7,Phase_2_pleine,Pleine saison,203,103,22.889,21.962667002261263,45.266,8.7608003616333,8.797308902218843,3.968664804888011,7.975,1.666316234868412,15.95,-14.861,Louga,Linguère,Zone sahélienne,16.125,-15.125,Louga,Linguère,2.0,4.5,222.64,481.6546593086578,5,12,2,0.0112664682983851,530.6220699765881,3.987500037540688,PASSED
489,1993-08-12,1993,8,Phase_2_pleine,Pleine saison,224,103,22.889,25.523279301171165,51.853,12.031414985656738,8.654105640593949,2.9907673114383964,4.588,0.6881242727829936,14.733,-15.205,Kaffrine,Koungheul,Zone soudano-sahélienne,13.875,-16.625,Fatick,Foundiougne,4.25,4.25,473.11,457.5540329437454,12,27,3,0.0108249178063121,658.1707647435322,2.293766541488064,PASSED
490,2023-08-19,2023,8,Phase_2_pleine,Pleine saison,231,103,22.889,27.082559252248227,46.954,13.111355781555176,8.166614784295227,2.69739818529542,4.468,0.5542439872956323,14.573,-14.478,Tambacounda,Koumpentoum,Zone soudano-sahélienne,13.875,-16.625,Fatick,Foundiougne,4.0,4.0,445.28,430.95528473227256,11,21,3,0.0105915484099231,619.6747039283387,2.2342241123227966,PASSED
491,2009-08-25,2009,8,Phase_2_pleine,Pleine saison,237,103,22.889,25.68751370328144,51.956,13.366886138916016,9.249017117721486,2.372620909091099,3.811,0.3567717392201164,14.482,-15.606,Kaolack,Guinguinéo,Zone soudano-sahélienne,13.375,-15.875,Sédhiou,Sédhiou,4.25,3.75,473.11,404.186043999324,13,26,3,0.0109674018326347,622.2535019297388,1.9054222891727488,PASSED
492,2006-07-03,2006,7,Phase_2_pleine,Pleine saison,184,103,22.889,19.20964525741281,46.205,6.1507673263549805,7.668369644102261,2.4619222473012154,3.778,0.3196274630158148,13.62,-14.867,Kolda,Kolda,Zone soudano-sahélienne,12.375,-15.125,Sédhiou,Bounkiling,4.25,5.25,473.11,567.9944521907012,14,26,3,0.01125587982212,739.2230787924676,1.8889060181309836,PASSED
494,2017-07-15,2017,7,Phase_2_pleine,Pleine saison,196,102,22.667,33.583197229048785,76.672,14.23240089416504,13.074692726114634,3.757690738875527,8.127,1.2395793115573446,13.197,-12.736,Tambacounda,Goudiry,Zone soudanienne,12.875,-12.375,Kédougou,Salémata,2.5,3.25,278.3,352.2360395966604,4,9,2,0.0112899212984363,448.9110272684779,4.063315463198005,PASSED
497,2005-08-19,2005,8,Phase_2_pleine,Pleine saison,231,102,22.667,35.26969185997458,66.788,14.741219520568848,9.417699214758192,2.848215917819057,4.803,0.6708748879552868,13.842,-15.284,Kaffrine,Malem-Hodar,Zone soudano-sahélienne,12.875,-15.125,Kolda,Kolda,4.0,4.5,445.28,486.3922641176577,12,26,3,0.0105029359788779,659.4328744030747,2.4016273834418387,PASSED
501,2020-07-25,2020,7,Phase_2_pleine,Pleine saison,207,101,22.444,20.59312211404933,35.768,11.880859375,4.849454561549278,2.773707210828246,4.734,0.6763361781089164,15.264,-12.319,Matam,Kanel,Zone soudano-sahélienne,15.375,-11.375,Matam,Kanel,3.75,3.5,417.45,375.8746490229416,4,7,3,0.0104500503768185,561.735050894209,2.3670202116649617,PASSED
502,1989-07-12,1989,7,Phase_2_pleine,Pleine saison,193,100,22.222,20.16544059753418,34.048,8.400259017944336,5.033136623546215,3.847922353662735,8.402,1.523543967829445,15.233,-14.808,Kaffrine,Koungheul,Zone soudano-sahélienne,14.125,-15.625,Kaolack,Guinguinéo,4.0,5.5,445.28,590.7482659859711,12,25,3,0.0106229626483632,739.7687442812326,4.201093344322561,PASSED
505,2001-07-26,2001,7,Phase_2_pleine,Pleine saison,207,100,22.222,21.914877099990846,34.207,11.974308967590332,4.738940601885244,2.6657382654458366,5.349,0.6148965308141632,14.802,-12.899,Matam,Kanel,Zone soudano-sahélienne,16.375,-11.625,Matam,Matam,3.5,5.0,389.62,538.1299357739591,9,18,3,0.0104676107122591,664.3700491074875,2.6744226973536853,PASSED
506,1994-07-11,1994,7,Phase_2_pleine,Pleine saison,192,100,22.222,21.96105812072754,43.389,8.459301948547363,7.475759919130883,3.061159744696301,5.327,0.8798952006561412,14.432,-13.464,Tambacounda,Tambacounda,Zone soudano-sahélienne,13.375,-16.625,Ziguinchor,Bignona,3.5,5.25,389.62,565.9869836077877,8,17,3,0.011158788479471,687.1280812108046,2.66356823212234,PASSED
508,2015-07-25,2015,7,Phase_2_pleine,Pleine saison,206,100,22.222,34.004753532409666,57.581,18.7352237701416,8.625663063232107,3.1645371825236537,4.495,0.7516921033598811,13.133,-12.63,Tambacounda,Goudiry,Zone soudanienne,12.625,-12.375,Kédougou,Kédougou,2.25,3.5,250.47,379.4288645523998,4,10,2,0.0106434365343498,454.6443510171146,2.247421094472114,PASSED
512,2023-07-08,2023,7,Phase_2_pleine,Pleine saison,189,99,22.0,17.08881601661143,28.435,6.9673027992248535,4.742101623008693,3.4361065928436734,6.746,1.1731941240164607,15.644,-14.678,Matam,Ranérou,Zone sahélienne,16.125,-14.375,Matam,Ranérou,3.0,3.75,333.96,401.98595250675487,6,12,2,0.0108788363062488,522.6107341513978,3.372857570708005,PASSED
513,1996-07-23,1996,7,Phase_2_pleine,Pleine saison,205,99,22.0,24.4743854252979,34.335,8.814818382263184,5.275437916917427,3.2998496895757947,5.522,0.8385475382825154,14.761,-12.242,Tambacounda,Bakel,Zone soudano-sahélienne,13.625,-11.375,Kédougou,Saraya,4.0,2.75,445.28,296.02629777767686,3,8,3,0.0105703184152582,534.7016459914424,2.7611072938464294,PASSED
515,1994-07-24,1994,7,Phase_2_pleine,Pleine saison,205,99,22.0,25.20740430041997,41.873,12.039342880249023,7.45479732588106,2.532113769294344,3.815,0.3873266729046805,13.665,-14.729,Kolda,Vélingara,Zone soudano-sahélienne,13.375,-16.125,Kaolack,Nioro du Rip,4.25,4.75,473.11,513.8024115401656,11,25,3,0.010984456556777,698.4454027370283,1.9077232053465865,PASSED
516,2010-07-11,2010,7,Phase_2_pleine,Pleine saison,192,99,22.0,19.11608746075871,40.397,8.299057006835938,8.1698666104836,2.570646767210454,3.747,0.4263379250513712,14.148,-13.695,Tambacounda,Tambacounda,Zone soudano-sahélienne,12.375,-16.125,Sédhiou,Goudomp,4.25,4.75,473.11,512.7308766320293,7,15,3,0.0119460115832832,697.6575193831493,1.87332948896814,PASSED
517,1981-07-24,1981,7,Phase_2_pleine,Pleine saison,205,98,21.778,23.94738713089301,41.06,11.722229957580566,8.134620906056716,3.6981210265264073,8.457,1.7662456599743837,15.216,-14.662,Kaffrine,Koungheul,Zone soudano-sahélienne,13.125,-15.875,Sédhiou,Sédhiou,4.0,4.75,445.28,510.2319590849541,6,13,3,0.011381504025834,677.2081905305563,4.228560842399371,PASSED
518,2022-08-18,2022,8,Phase_2_pleine,Pleine saison,230,98,21.778,31.605061900858978,57.923,15.81068229675293,9.159959065691297,4.694050782276466,8.323,1.818314077079961,16.039,-14.679,Matam,Ranérou,Zone sahélienne,16.375,-15.875,Saint-Louis,Dagana,2.0,4.5,222.64,481.44137552416345,5,10,2,0.0110612136134662,530.4284762143701,4.161436228459497,PASSED
522,2012-07-23,2012,7,Phase_2_pleine,Pleine saison,205,98,21.778,23.50537871341316,57.167,9.665449142456056,11.62327132647102,2.9986891834249403,5.651,0.7268447721482243,14.118,-13.167,Tambacounda,Goudiry,Zone soudano-sahélienne,12.375,-12.125,Kédougou,Kédougou,4.25,5.0,473.11,539.7885676176337,6,12,3,0.0126992288244707,717.7776537554626,2.8255507955578296,PASSED
