date,phase,cluster,max_precip,mean_precip,coverage_percent,max_anomaly,mean_anomaly,year,month,day_of_year
2015-10-14,Phase_3_fin,0,29.55,14.453475669810649,25.333,6.108,3.202053758892605,2015,10,287
1984-09-14,Phase_3_fin,3,54.598,29.509680722889147,25.333,5.846,2.8998845792223507,1984,9,258
2000-10-01,Phase_3_fin,3,30.896,15.40343037404512,25.333,4.36,2.749385497062575,2000,10,275
2015-10-21,Phase_3_fin,0,31.7,9.492167670114906,25.111,6.382,3.3868693868524944,2015,10,294
2007-09-08,Phase_3_fin,3,56.868,31.0763361624309,24.889,6.428,3.9443639925289737,2007,9,251
1993-10-29,Phase_3_fin,1,14.311,4.403154673340084,24.667,11.456,4.038368827278576,1993,10,302
1994-10-06,Phase_3_fin,1,25.251,13.986485758694736,24.444,5.179,2.8109912819896383,1994,10,279
1986-09-19,Phase_3_fin,1,35.691,25.88256366903132,24.444,4.753,3.149580933090716,1986,9,262
2008-09-25,Phase_3_fin,2,33.405,20.521239350058817,24.444,4.554,2.514685032665047,2008,9,269
1998-09-25,Phase_3_fin,4,41.508,22.49223121729764,24.444,4.427,2.711506711156179,1998,9,268
1987-10-29,Phase_3_fin,0,11.875,4.99549483706098,24.222,6.774,3.366347280677609,1987,10,302
1996-10-16,Phase_3_fin,3,18.657,9.034947614057348,24.222,5.714,3.1453607594816444,1996,10,290
2004-10-09,Phase_3_fin,1,32.194,13.68801355580671,24.222,4.854,2.974851125027026,2004,10,283
2018-09-07,Phase_3_fin,1,55.764,34.53741668771814,24.0,5.871,3.2746911293561056,2018,9,250
1999-09-30,Phase_3_fin,4,30.721,14.845892641279432,24.0,5.241,2.797329304814202,1999,9,273
1988-10-31,Phase_3_fin,3,6.189,3.021101153621049,23.778,16.204,8.373755760732024,1988,10,305
1985-10-30,Phase_3_fin,3,6.058,2.247715228907416,23.778,8.114,3.345127684045158,1985,10,303
1985-09-28,Phase_3_fin,3,53.727,23.040484615575487,23.778,4.626,2.8342128123605765,1985,9,271
2008-09-16,Phase_3_fin,2,42.995,27.90044449422961,23.778,4.533,2.804421657672475,2008,9,260
1999-09-15,Phase_3_fin,4,50.806,23.878947525380926,23.778,4.136,2.664244009568048,1999,9,258
2010-09-06,Phase_3_fin,2,62.965,33.139324215223205,23.556,8.586,3.5422151042051184,2010,9,249
