date,rank,year,month,phase,phase_description,day_of_year,coverage_points,coverage_percent,mean_precip,max_precip,min_precip,std_precip,mean_anomaly,max_anomaly,std_anomaly,centroid_lat,centroid_lon,centroid_region,centroid_department,centroid_climate_zone,max_intensity_lat,max_intensity_lon,max_intensity_region,max_intensity_department,lat_extent_deg,lon_extent_deg,lat_extent_km,lon_extent_km,regions_affected,departments_affected,climate_zones_affected,intensity_concentration,spatial_dispersion,anomaly_severity,geographic_validation,cluster
2001-06-14,225,2001,6,Phase_1_debut,Début de saison,165,151,33.556,15.416974021109525,49.013,1.2742711305618286,9.43020979822641,5.149488403453199,12.53,2.2151646038373976,13.766,-15.732,Kaolack,Nioro du Rip,Zone soudano-sahélienne,12.875,-16.625,Ziguinchor,Bignona,4.25,3.0,473.11,324.3666423394204,12,31,3,0.0091003235882575,573.6259941482338,6.265171448367683,PASSED,3
1992-05-19,226,1992,5,Phase_1_debut,Début de saison,140,151,33.556,3.1453297555644,10.938,0.1294654011726379,2.693430621675548,4.0212764099260205,8.25,1.447992223209596,13.579,-13.257,Tambacounda,Tambacounda,Zone soudano-sahélienne,13.625,-13.625,Tambacounda,Tambacounda,4.25,5.0,473.11,541.0411882822582,7,17,3,0.0114787803795936,718.7201332353769,4.124775517630908,PASSED,3
1983-06-20,228,1983,6,Phase_1_debut,Début de saison,171,150,33.333,18.32384423573812,38.531,3.0530567169189453,7.553813906826509,3.4353965420506536,6.268,0.9699648525699284,13.524,-14.898,Kolda,Kolda,Zone soudano-sahélienne,12.375,-15.375,Sédhiou,Bounkiling,4.0,5.75,445.28,622.3420642586568,13,33,3,0.0077996098253187,765.2345563261804,3.133791651713856,PASSED,0
2003-06-09,229,2003,6,Phase_1_debut,Début de saison,160,149,33.111,18.32026085597557,44.444,3.968216180801392,10.485754816758924,4.549073963414964,10.477,2.186166264153328,13.527,-15.249,Kaffrine,Malem-Hodar,Zone soudano-sahélienne,12.375,-16.625,Ziguinchor,Oussouye,3.25,5.25,361.79,568.2187882967409,10,24,3,0.0089100276151665,673.6205157103786,5.238293855720736,PASSED,3
1998-05-16,236,1998,5,Phase_1_debut,Début de saison,136,148,32.889,2.200712096298466,8.987,0.1117509081959724,1.922445554413429,6.461919417337381,18.658,3.681158257808855,14.142,-12.644,Tambacounda,Goudiry,Zone soudano-sahélienne,13.125,-11.875,Tambacounda,Goudiry,4.25,5.0,473.11,539.7308185041068,6,14,3,0.0119128400138283,717.734225840675,9.32916414976221,PASSED,0
1990-06-30,243,1990,6,Phase_1_debut,Début de saison,181,146,32.444,20.30593466432127,46.006,4.860732078552246,7.302395368684817,4.137557837661645,8.279,1.847942793341874,14.935,-13.354,Matam,Kanel,Zone soudano-sahélienne,15.125,-13.375,Matam,Kanel,4.0,5.0,445.28,537.7973329847468,5,13,3,0.0077351072878231,698.2121830901453,4.1393579242278165,PASSED,3
1991-06-04,247,1991,6,Phase_1_debut,Début de saison,155,145,32.222,6.858154458835207,33.497,0.5099120140075684,5.516233687711988,6.927185633683813,20.0,4.780304272867348,14.737,-13.594,Tambacounda,Koumpentoum,Zone soudano-sahélienne,13.125,-14.375,Tambacounda,Tambacounda,3.75,5.25,417.45,565.2054392778101,10,23,3,0.0113582765924994,702.6533314616977,10.0,PASSED,0
2022-05-28,254,2022,5,Phase_1_debut,Début de saison,148,144,32.0,2.792574100403322,8.307,0.282379001379013,2.13000075575504,4.001198694373275,11.128,1.904214144581332,13.672,-15.304,Kaffrine,Malem-Hodar,Zone soudano-sahélienne,13.125,-14.625,Kolda,Médina Yoro Foulah,4.25,4.5,473.11,486.7448829786742,13,32,3,0.0109845025492429,678.788364371343,5.564089587660702,PASSED,4
1989-06-30,256,1989,6,Phase_1_debut,Début de saison,181,144,32.0,25.851294259230297,81.942,7.311151504516602,15.57235242163552,3.8598305935831183,8.154,1.516434056188046,13.662,-14.572,Kolda,Vélingara,Zone soudano-sahélienne,12.375,-14.875,Kolda,Kolda,3.5,5.75,389.62,621.9797582524085,13,31,3,0.0094643332263393,733.9363419607483,4.07685952727762,PASSED,1
1987-06-09,264,1987,6,Phase_1_debut,Début de saison,160,142,31.556,26.967675827758413,82.726,0.7604228258132935,14.568570185648056,4.98707802127508,14.561,2.27922623443461,13.196,-14.307,Tambacounda,Tambacounda,Zone soudanienne,13.375,-14.625,Kolda,Vélingara,4.0,4.75,445.28,514.8084649877624,11,23,3,0.0090974742841216,680.6629392533841,7.280477072210077,PASSED,0
2020-06-11,271,2020,6,Phase_1_debut,Début de saison,163,140,31.111,32.00486643314362,59.83,7.463346004486084,10.767748998726184,5.556923688911311,9.607,1.7182530278655088,13.178,-14.629,Kolda,Médina Yoro Foulah,Zone soudanienne,12.875,-14.875,Kolda,Kolda,2.75,4.5,306.13,487.7489306665763,9,21,2,0.0079513752916242,575.8598766118271,4.803637517155022,PASSED,3
