date,phase,cluster,max_precip,mean_precip,coverage_percent,max_anomaly,mean_anomaly,year,month,day_of_year
1993-08-12,Phase_2_pleine,0,51.853,25.523279301171165,22.889,4.588,2.9907673114383964,1993,8,224
2023-08-19,Phase_2_pleine,4,46.954,27.082559252248227,22.889,4.468,2.69739818529542,2023,8,231
2009-08-25,Phase_2_pleine,1,51.956,25.68751370328144,22.889,3.811,2.372620909091099,2009,8,237
2006-07-03,Phase_2_pleine,1,46.205,19.20964525741281,22.889,3.778,2.4619222473012154,2006,7,184
2017-07-15,Phase_2_pleine,1,76.672,33.583197229048785,22.667,8.127,3.757690738875527,2017,7,196
2005-08-19,Phase_2_pleine,1,66.788,35.26969185997458,22.667,4.803,2.848215917819057,2005,8,231
2020-07-25,Phase_2_pleine,1,35.768,20.59312211404933,22.444,4.734,2.773707210828246,2020,7,207
1989-07-12,Phase_2_pleine,2,34.048,20.16544059753418,22.222,8.402,3.847922353662735,1989,7,193
2001-07-26,Phase_2_pleine,1,34.207,21.914877099990846,22.222,5.349,2.6657382654458366,2001,7,207
1994-07-11,Phase_2_pleine,0,43.389,21.96105812072754,22.222,5.327,3.061159744696301,1994,7,192
2015-07-25,Phase_2_pleine,0,57.581,34.004753532409666,22.222,4.495,3.1645371825236537,2015,7,206
2023-07-08,Phase_2_pleine,4,28.435,17.08881601661143,22.0,6.746,3.4361065928436734,2023,7,189
1996-07-23,Phase_2_pleine,2,34.335,24.4743854252979,22.0,5.522,3.2998496895757947,1996,7,205
1994-07-24,Phase_2_pleine,0,41.873,25.20740430041997,22.0,3.815,2.532113769294344,1994,7,205
2010-07-11,Phase_2_pleine,2,40.397,19.11608746075871,22.0,3.747,2.570646767210454,2010,7,192
2022-08-18,Phase_2_pleine,2,57.923,31.605061900858978,21.778,8.323,4.694050782276466,2022,8,230
2012-07-23,Phase_2_pleine,3,57.167,23.50537871341316,21.778,5.651,2.9986891834249403,2012,7,205
1996-08-21,Phase_2_pleine,1,43.567,26.296130947231017,21.556,5.645,2.9613662104656626,1996,8,234
1998-07-23,Phase_2_pleine,5,55.577,25.667051703659528,21.556,4.589,2.957391119071676,1998,7,204
