metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,sig_pearson,sig_spearman
n_events,Nombre d evenements,ATL3,1,0.0405,0.7182,0.7322,0.016,0.8862,0.8921,82,74,,,,
n_events,Nombre d evenements,AMM,1,0.0504,0.6527,0.6717,0.082,0.464,0.4905,82,73,,,,
n_events,Nombre d evenements,AMO,1,0.1749,0.1161,0.1418,0.2051,0.0645,0.0839,82,72,,,,
max_precip,Precipitation max mensuel (mm),Nino12,2,-0.1637,0.1416,0.1416,-0.1144,0.3059,0.3059,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino3,2,-0.1637,0.1416,0.1416,-0.1271,0.255,0.255,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino34,2,-0.1403,0.2087,0.2087,-0.0789,0.481,0.481,82,82,,,,
max_precip,Precipitation max mensuel (mm),Nino4,2,-0.1114,0.319,0.319,-0.0603,0.5907,0.5907,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOD,2,-0.1792,0.1073,0.1073,-0.1607,0.1491,0.1491,82,82,,,,
max_precip,Precipitation max mensuel (mm),IOBM,2,-0.2359,0.0329,0.0329,-0.1622,0.1453,0.1453,82,82,*,,*,
max_precip,Precipitation max mensuel (mm),TNA,2,-0.1012,0.3659,0.3659,-0.0784,0.4838,0.4838,82,82,,,,
max_precip,Precipitation max mensuel (mm),TSA,2,0.0745,0.5057,0.5057,0.1333,0.2324,0.2324,82,82,,,,
max_precip,Precipitation max mensuel (mm),ATL3,2,0.0748,0.5039,0.5039,0.1324,0.2358,0.2358,82,82,,,,
max_precip,Precipitation max mensuel (mm),AMM,2,-0.1288,0.2488,0.2488,-0.0964,0.3887,0.3887,82,82,,,,
max_precip,Precipitation max mensuel (mm),AMO,2,-0.0113,0.9197,0.9197,0.0134,0.9049,0.9049,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino12,2,-0.1284,0.2502,0.2502,-0.0872,0.4358,0.4358,82,82,,,,
