metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,pearson_p_fdr,spearman_p_fdr,sig_pearson,sig_spearman
mean_precip,Precipitation moy. (mm),Nino12,12,-0.102,0.3974,0.3974,-0.1101,0.3607,0.3607,71,71,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),Nino3,12,-0.0779,0.5185,0.5185,-0.0449,0.7102,0.7102,71,71,,,0.9298,0.9987,,
mean_precip,Precipitation moy. (mm),Nino34,12,-0.0402,0.739,0.739,-0.0273,0.8212,0.8212,71,71,,,0.9612,0.9987,,
mean_precip,Precipitation moy. (mm),Nino4,12,0.0398,0.7415,0.7415,0.0407,0.7363,0.7363,71,71,,,0.9612,0.9987,,
mean_precip,Precipitation moy. (mm),IOD,12,-0.1558,0.1945,0.1945,-0.1353,0.2605,0.2605,71,71,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),IOBM,12,-0.1565,0.1924,0.1924,-0.1355,0.2598,0.2598,71,71,,,0.9165,0.9602,,
mean_precip,Precipitation moy. (mm),TNA,12,-0.098,0.4161,0.4161,-0.0409,0.7348,0.7348,71,71,,,0.9165,0.9987,,
mean_precip,Precipitation moy. (mm),TSA,12,-0.0224,0.8531,0.8531,-0.0297,0.8057,0.8057,71,71,,,0.9796,0.9987,,
mean_precip,Precipitation moy. (mm),ATL3,12,0.0313,0.7956,0.7956,0.0591,0.6245,0.6245,71,71,,,0.9796,0.9806,,
mean_precip,Precipitation moy. (mm),AMM,12,-0.0586,0.6275,0.6275,-0.0288,0.8117,0.8117,71,71,,,0.9298,0.9987,,
mean_precip,Precipitation moy. (mm),AMO,12,0.0738,0.5407,0.5407,0.0888,0.4616,0.4616,71,71,,,0.9298,0.9602,,
max_anomaly,Anomalie max moy. (sigma),Nino12,12,-0.1706,0.1549,0.1549,-0.2202,0.065,0.065,71,71,,,0.9165,0.9602,,
